filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./flaskshop/public/views.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,53,23,8,"[53, 54, 55, 56, 57, 58, 59, 60]",https://bandit.readthedocs.io/en/1.9.2/plugins/b608_hardcoded_sql_expressions.html
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,45,15,56,[45],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,241,43,65,[241],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,285,23,44,[285],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,295,16,55,[295],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,306,21,68,[306],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',356,14,5,"[356, 357, 358, 359, 360, 361]",https://bandit.readthedocs.io/en/1.9.2/plugins/b106_hardcoded_password_funcarg.html
./flaskshop/random_data.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'admin',388,11,5,"[388, 389, 390]",https://bandit.readthedocs.io/en/1.9.2/plugins/b106_hardcoded_password_funcarg.html
./flaskshop/random_data.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'op',396,11,88,[396],https://bandit.readthedocs.io/en/1.9.2/plugins/b106_hardcoded_password_funcarg.html
./flaskshop/random_data.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'editor',399,11,5,"[399, 400, 401]",https://bandit.readthedocs.io/en/1.9.2/plugins/b106_hardcoded_password_funcarg.html
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,501,13,50,[501],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,518,49,71,[518],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,535,15,37,[535],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,552,13,52,[552],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/random_data.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,580,23,58,[580],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./tests/settings.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'not-so-secret-in-tests',7,13,37,[7],https://bandit.readthedocs.io/en/1.9.2/plugins/b105_hardcoded_password_string.html
./tests/test_config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,10,4,38,[10],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,4,45,[11],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,12,4,50,[12],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_config.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,18,4,37,[18],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_database.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,8,68,[29],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_database.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,8,62,[35],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_database.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,42,8,58,[42],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_database.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,59,8,45,[59],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_database.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,8,56,[68],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_e2e.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,6,4,32,[6],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
./tests/test_e2e.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,8,36,[13],https://bandit.readthedocs.io/en/1.9.2/plugins/b101_assert_used.html
